"_id","id","timestamp","__v"
"65a15a1c1e343c4e21eaef6d",,-1,0
"65a15a1c1e343c4e21eaef6f",,-1,0
"65a15a1d1e343c4e21eaef71",,-1,0
"65a15a1d1e343c4e21eaef73",,-1,0
"65a15a1d1e343c4e21eaef75",,-1,0
"65a15a1e1e343c4e21eaef77",,-1,0
"65a15a1f1e343c4e21eaef79",,-1,0
"65a15a261e343c4e21eaef7d",,1881,0
"65a15a261e343c4e21eaef7f",,2161,0
"65a15a261e343c4e21eaef81",,2345.0000000000036,0
"65a15a261e343c4e21eaef83",,2522,0
"65a15a271e343c4e21eaef85",,2757,0
"65a15a271e343c4e21eaef87",,2980,0
"65a15a271e343c4e21eaef89",,3228,0
"65a15b0a1e343c4e21eaef91",,-1,0
"65a15b0a1e343c4e21eaef93",,-1,0
"65a15b0a1e343c4e21eaef95",,-1,0
"65a15b0b1e343c4e21eaef97",,-1,0
"65a15b0b1e343c4e21eaef99",,-1,0
"65a15b0b1e343c4e21eaef9b",,-1,0
"65a15b101e343c4e21eaef9f",,1421,0
"65a15b111e343c4e21eaefa1",,1915.0000000000036,0
"65a15b111e343c4e21eaefa3",,2305,0
"65a15b111e343c4e21eaefa5",,2688,0
"65a15b121e343c4e21eaefa7",,3125,0
"65a15b121e343c4e21eaefa9",,3557,0
"65a15b131e343c4e21eaefab",,3864,0
"65a15b131e343c4e21eaefad",,4020,0
"65a15b131e343c4e21eaefaf",,4190,0
"65a15b131e343c4e21eaefb1",,4370,0
"65a15b131e343c4e21eaefb3",,4542,0
"65a15b131e343c4e21eaefb5",,4704,0
"65a15b141e343c4e21eaefb7",,4883.000000000004,0
"65a15b141e343c4e21eaefb9",,5073,0
"65a15b141e343c4e21eaefbb",,5261.000000000004,0
"65a15b141e343c4e21eaefbd",,5431,0
"65a15b141e343c4e21eaefbf",,5616,0
"65a15b141e343c4e21eaefc1",,5786,0
"65a15b151e343c4e21eaefc3",,5977,0
"65a15b151e343c4e21eaefc5",,6163,0
"65a15b151e343c4e21eaefc7",,6353,0
"65a15b151e343c4e21eaefc9",,6521,0
"65a15b151e343c4e21eaefcb",,6688,0
"65a15b161e343c4e21eaefcd",,6891,0
"65a15b161e343c4e21eaefcf",,7072.000000000004,0
"65a15b161e343c4e21eaefd1",,7260,0
"65a15b161e343c4e21eaefd3",,7456,0
"65a15b161e343c4e21eaefd5",,7632,0
"65a15b171e343c4e21eaefd7",,7822.000000000004,0
"65a15b171e343c4e21eaefd9",,8022,0
"65a15b171e343c4e21eaefdb",,8210,0
"65a15b171e343c4e21eaefdd",,8431,0
"65a15b171e343c4e21eaefdf",,8759,0
"65a15b181e343c4e21eaefe1",,8931,0
"65a15b181e343c4e21eaefe3",,9155,0
"65a15b181e343c4e21eaefe5",,9342,0
"65a15b181e343c4e21eaefe7",,9538.000000000004,0
"65a15b181e343c4e21eaefe9",,9755.000000000004,0
"65a15b191e343c4e21eaefeb",,9940.000000000004,0
"65a15b191e343c4e21eaefed",,10114.000000000004,0
"65a15b191e343c4e21eaefef",,10325,0
"65a15b191e343c4e21eaeff1",,10477,0
"65a15b191e343c4e21eaeff3",,10599,0
"65a15b191e343c4e21eaeff5",,10810,0
"65a15b1a1e343c4e21eaeff7",,11026,0
"65a15b1a1e343c4e21eaeff9",,11180,0
"65a15b1a1e343c4e21eaeffb",,11373.000000000007,0
"65a15b1a1e343c4e21eaeffd",,11554,0
"65a15b1a1e343c4e21eaefff",,11753,0
"65a15b1b1e343c4e21eaf001",,11936,0
"65a15b1b1e343c4e21eaf003",,12172,0
"65a15b1b1e343c4e21eaf005",,12345,0
"65a15b1b1e343c4e21eaf007",,12555,0
"65a15b1b1e343c4e21eaf009",,12759,0
"65a15b1c1e343c4e21eaf00b",,12932,0
"65a15b1c1e343c4e21eaf00d",,13124,0
"65a15b1c1e343c4e21eaf00f",,13324,0
